[TURBINES]
SPECIFIC SPEED (US/SI): 30 / 115 Range: SI 111-178, US 25-40
NUMGATES: 9
GATE: 20.00 13
260.19 69.27 86.12
240.02 63.65 78.01
220.04 58.03 69.97
200.14 52.42 62.04
179.97 46.81 53.99
160.12 41.2 46.12
140.06 35.58 37.96
119.97 30.04 29.99
99.92 24.45 21.98
79.99 18.8 14.0
60.0 13.15 6.0
40.05 7.59 -2.0
19.99 1.98 -9.99
GATE: 30.00 13
259.92 96.35 138.54
240.14 89.28 125.83
220.01 82.0 113.09
199.71 74.73 100.06
180.25 67.65 87.6
160.16 60.46 74.64
140.09 53.18 61.78
119.91 45.96 48.92
99.91 38.76 36.17
80.01 31.57 23.36
60.09 24.45 10.64
39.97 17.25 -2.2
20.0 10.01 -15.0
GATE: 40.00 13
260.45 113.1 187.79
239.82 105.0 170.03
219.98 96.93 152.89
199.68 88.92 135.58
180.16 81.0 118.72
160.16 73.03 101.54
140.06 65.06 84.18
120.04 56.96 66.98
100.02 49.02 49.81
80.06 40.96 32.67
60.07 33.01 15.44
40.05 24.98 -1.8
20.01 17.04 -19.01
GATE: 50.00 13
260.09 133.47 232.52
240.14 124.17 211.33
219.75 114.94 189.86
199.92 105.85 168.73
179.91 96.54 147.53
159.73 87.32 126.19
140.01 78.22 105.15
120.07 68.97 84.05
99.92 59.78 62.75
80.01 50.65 41.61
60.07 41.43 20.42
40.01 32.23 -0.8
20.01 22.97 -22.01
GATE: 60.00 13
259.59 161.29 273.09
240.53 150.33 249.43
219.68 138.9 223.63
199.75 127.79 198.95
179.79 116.58 174.22
160.18 105.42 149.77
139.98 94.25 124.72
120.03 83.0 99.98
99.94 71.81 75.15
80.01 60.6 50.41
59.91 49.4 25.58
40.02 38.19 0.8
20.02 27.01 -24.03
GATE: 70.00 13
259.49 173.04 308.28
239.99 161.65 281.03
220.13 150.0 253.15
199.71 138.31 224.67
179.98 126.74 196.9
159.89 115.17 168.84
140.01 103.54 140.99
119.96 92.01 113.0
99.85 80.34 84.87
80.05 68.82 56.99
59.95 57.23 28.96
39.94 45.6 1.0
19.96 34.01 -26.95
GATE: 80.00 13
259.62 178.36 331.54
239.9 167.2 301.79
219.78 156.01 271.65
200.4 144.92 242.49
179.8 133.47 211.8
159.89 122.4 181.79
140.07 111.29 152.11
120.22 100.08 122.26
100.01 88.74 92.01
80.07 77.58 62.05
59.92 66.35 31.94
40.06 55.25 2.0
19.97 44.03 -27.96
GATE: 90.00 13
260.68 188.39 351.13
239.98 176.7 318.45
220.04 164.95 287.15
199.66 153.3 254.97
180.01 141.87 223.75
159.78 130.19 191.89
139.94 118.48 160.52
119.9 106.91 128.9
100.11 95.39 97.51
80.15 83.85 65.88
60.04 72.27 34.22
40.02 60.6 2.6
20.04 49.02 -29.06
GATE: 100.00 13
260.28 199.82 363.86
239.94 187.48 330.64
220.18 175.06 298.34
200.33 162.74 265.63
180.44 150.33 232.95
159.93 137.73 199.43
140.17 125.45 166.95
120.13 113.1 134.18
100 100 100
80.05 88.2 68.44
59.96 75.83 35.56
39.97 63.37 2.8
19.96 51.02 -29.95
SPECIFIC SPEED (US/SI): 45 / 170 Range:  SI 178-214, US 40-48
NUMGATES: 9
GATE: 20.00 13
259.87 48.4 68.87
239.83 45.23 62.6
220.05 42.14 56.33
200.12 38.99 50.03
179.96 35.8 43.73
159.9 32.67 37.42
140.11 29.6 31.1
120.01 26.47 24.84
100.01 23.29 18.6
80.03 20.15 12.33
60.06 17.04 6.01
39.94 13.87 -0.28
20.03 10.72 -6.59
GATE: 30.00 13
259.99 77.42 124.28
240.15 72.27 112.87
219.7 67.07 101.28
199.97 61.97 89.99
179.87 56.83 78.6
160.05 51.65 67.22
140.1 46.57 55.76
120.0 41.43 44.28
99.97 36.25 32.89
80.0 31.13 21.44
60.07 26.05 10.03
39.99 20.88 -1.44
20.02 15.71 -12.87
GATE: 40.00 13
260.25 92.38 170.47
240.0 86.79 154.8
220.09 81.5 139.53
200.0 75.99 124.0
180.01 70.61 108.55
160.13 65.2 93.19
140.11 59.78 77.76
120.13 54.34 62.34
99.92 48.9 46.86
79.93 43.44 31.41
59.97 37.96 16.01
39.95 32.56 0.56
20.03 27.12 -14.89
GATE: 50.00 13
259.82 120.18 223.71
239.85 112.87 203.39
220.1 105.42 183.35
200.18 98.1 163.14
179.8 90.54 142.58
160.17 83.17 122.53
139.85 75.67 102.09
120.04 68.24 81.87
99.95 60.87 61.57
80.03 53.44 41.3
60.03 45.96 21.01
39.98 38.53 0.72
20.0 31.13 -19.58
GATE: 60.00 13
259.8 134.87 274.35
239.81 127.0 249.4
219.82 118.97 224.65
200.32 111.07 200.32
180.03 102.92 175.17
159.99 95.01 150.23
140.06 86.97 125.49
120.15 79.03 100.69
99.96 71.06 75.67
80.01 62.95 50.89
60.05 54.99 26.0
39.96 47.05 1.16
20.03 38.99 -23.76
GATE: 70.00 13
260.54 170.67 308.74
240.24 159.86 280.59
219.64 148.71 252.36
200.12 138.02 225.14
180.03 127.26 197.31
160.19 116.34 169.8
139.9 105.42 141.72
120.1 94.63 114.21
100.03 83.68 86.42
80.04 72.88 58.75
59.92 61.97 30.98
39.99 51.15 3.28
20.01 40.27 -24.44
GATE: 80.00 13
260.02 185.24 331.27
240.13 173.44 301.6
219.82 161.65 271.48
199.76 150.0 241.72
179.96 138.31 212.18
159.8 126.48 182.33
140.13 114.94 153.03
120.13 103.13 123.26
100.02 91.46 93.42
79.88 79.68 63.59
60.06 67.94 34.05
39.98 56.3 4.28
19.94 44.51 -25.35
GATE: 90.00 13
260.28 192.08 342.01
239.86 180.04 310.86
